"", "Mobile line" , "Brazil" ,  55779 , "0.1"
"", "Mobile line" , "Brazil" ,  55787 , "0.1"
"", "Mobile line" , "Brazil" ,  55788 , "0.1"
"", "Mobile line" , "Brazil" ,  55789 , "0.1"
"", "Mobile line" , "Brazil" ,  55797 , "0.1"
"", "Mobile line" , "Brazil" ,  55798 , "0.1"
"", "Mobile line" , "Brazil" ,  55799 , "0.1"
"", "Mobile line" , "Brazil" ,  55817 , "0.1"
"", "Mobile line" , "Brazil" ,  55818 , "0.1"
"", "Mobile line" , "Brazil" ,  55819 , "0.1"
"", "Mobile line" , "Brazil" ,  55827 , "0.1"
"", "Mobile line" , "Brazil" ,  55828 , "0.1"
"", "Mobile line" , "Brazil" ,  55829 , "0.1"
"", "Mobile line" , "Brazil" ,  55837 , "0.1"
"", "Mobile line" , "Brazil" ,  55838 , "0.1"
"", "Mobile line" , "Brazil" ,  55839 , "0.1"
"", "Mobile line" , "Brazil" ,  55847 , "0.1"
"", "Mobile line" , "Brazil" ,  55848 , "0.1"
"", "Mobile line" , "Brazil" ,  55849 , "0.1"
"", "Mobile line" , "Brazil" ,  55857 , "0.1"
"", "Mobile line" , "Brazil" ,  55858 , "0.1"
"", "Mobile line" , "Brazil" ,  55859 , "0.1"
"", "Mobile line" , "Brazil" ,  55867 , "0.1"
"", "Mobile line" , "Brazil" ,  55868 , "0.1"
"", "Mobile line" , "Brazil" ,  55869 , "0.1"
"", "Mobile line" , "Brazil" ,  55877 , "0.1"
"", "Mobile line" , "Brazil" ,  55878 , "0.1"
"", "Mobile line" , "Brazil" ,  55879 , "0.1"
"", "Mobile line" , "Brazil" ,  55887 , "0.1"
"", "Mobile line" , "Brazil" ,  55888 , "0.1"
"", "Mobile line" , "Brazil" ,  55889 , "0.1"
"", "Mobile line" , "Brazil" ,  55897 , "0.1"
"", "Mobile line" , "Brazil" ,  55898 , "0.1"
